,left,bottom,right,top
0,145000.0,238000.0,162000.0,247000.0
1,162000.0,238000.0,194000.0,250000.0
2,194000.0,238000.0,206000.0,248000.0
3,53000.0,218000.0,66000.0,225500.0
4,66000.0,218000.0,98000.0,232000.0
5,98000.0,218000.0,130000.0,227000.0
6,130000.0,218000.0,162000.0,238000.0
7,162000.0,218000.0,194000.0,238000.0
8,194000.0,218000.0,226000.0,238000.0
9,226000.0,218000.0,238000.0,227000.0
10,18500.0,198000.0,34000.0,206500.0
11,34000.0,198000.0,66000.0,218000.0
12,66000.0,198000.0,98000.0,218000.0
13,98000.0,198000.0,130000.0,218000.0
14,130000.0,198000.0,162000.0,218000.0
15,162000.0,198000.0,194000.0,218000.0
16,194000.0,198000.0,226000.0,218000.0
17,226000.0,198000.0,258000.0,218000.0
18,17000.0,178000.0,34000.0,198000.0
19,34000.0,178000.0,66000.0,198000.0
20,66000.0,178000.0,98000.0,198000.0
21,98000.0,178000.0,130000.0,198000.0
22,130000.0,178000.0,162000.0,198000.0
23,162000.0,178000.0,194000.0,198000.0
24,194000.0,178000.0,226000.0,198000.0
25,226000.0,178000.0,258000.0,198000.0
26,20000.0,158000.0,34000.0,178000.0
27,34000.0,158000.0,66000.0,178000.0
28,66000.0,158000.0,98000.0,178000.0
29,98000.0,158000.0,130000.0,178000.0
30,130000.0,158000.0,162000.0,178000.0
31,162000.0,158000.0,194000.0,178000.0
32,194000.0,158000.0,226000.0,178000.0
33,226000.0,158000.0,258000.0,178000.0
34,258000.0,158000.0,264000.0,169000.0
35,34000.0,151000.0,66000.0,158000.0
36,66000.0,150000.0,98000.0,158000.0
37,98000.0,148000.0,130000.0,158000.0
38,130000.0,148000.0,162000.0,158000.0
39,162000.0,152000.0,194000.0,158000.0
40,194000.0,149000.0,226000.0,158000.0
41,226000.0,151000.0,258000.0,158000.0
42,258000.0,151000.0,264000.0,158000.0
